frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1776192582.097928833","192.168.0.110","192.168.0.110","51749","1883","68","0x0010",,
"1776192582.098679499","192.168.0.110","192.168.0.110","51749","1883","101","0x0018","1",
"1776192582.098707291","192.168.0.110","192.168.0.110","1883","51749","68","0x0010",,
"1776192582.098833666","127.0.0.1","127.0.0.1","51874","42699","76","0x0002",,
"1776192582.098850249","127.0.0.1","127.0.0.1","42699","51874","76","0x0012",,
"1776192582.098866249","127.0.0.1","127.0.0.1","51874","42699","68","0x0010",,
"1776192582.098993874","192.168.0.110","192.168.0.110","1883","51749","72","0x0018","2",
"1776192582.099012999","192.168.0.110","192.168.0.110","51749","1883","68","0x0010",,
"1776192582.923556791","192.168.0.111","192.168.0.110","45339","1883","782","0x0018","3","Fan Speed"
"1776192582.923614375","192.168.0.110","192.168.0.111","1883","45339","68","0x0010",,
"1776192582.923816333","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192582.923843083","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192583.100880083","192.168.0.110","192.168.0.110","59553","1883","76","0x0002",,
"1776192583.100940791","192.168.0.110","192.168.0.110","1883","59553","76","0x0012",,
"1776192583.100994458","192.168.0.110","192.168.0.110","59553","1883","68","0x0010",,
"1776192583.101323375","192.168.0.110","192.168.0.110","59553","1883","101","0x0018","1",
"1776192583.101356458","192.168.0.110","192.168.0.110","1883","59553","68","0x0010",,
"1776192583.101486708","192.168.0.110","192.168.0.110","1883","59553","72","0x0018","2",
"1776192583.101517333","192.168.0.110","192.168.0.110","59553","1883","68","0x0010",,
"1776192583.101536708","127.0.0.1","127.0.0.1","51628","36023","76","0x0002",,
"1776192583.101569666","127.0.0.1","127.0.0.1","36023","51628","76","0x0012",,
"1776192583.101602833","127.0.0.1","127.0.0.1","51628","36023","68","0x0010",,
"1776192583.922393750","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192583.922423875","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192584.103753542","192.168.0.110","192.168.0.110","53239","1883","76","0x0002",,
"1776192584.103812250","192.168.0.110","192.168.0.110","1883","53239","76","0x0012",,
"1776192584.103891042","192.168.0.110","192.168.0.110","53239","1883","68","0x0010",,
"1776192584.104130000","192.168.0.110","192.168.0.110","53239","1883","102","0x0018","1",
"1776192584.104159292","192.168.0.110","192.168.0.110","1883","53239","68","0x0010",,
"1776192584.104296333","127.0.0.1","127.0.0.1","48556","35629","76","0x0002",,
"1776192584.104326333","127.0.0.1","127.0.0.1","35629","48556","76","0x0012",,
"1776192584.104357583","127.0.0.1","127.0.0.1","48556","35629","68","0x0010",,
"1776192584.104461083","192.168.0.110","192.168.0.110","1883","53239","72","0x0018","2",
"1776192584.104522583","192.168.0.110","192.168.0.110","53239","1883","68","0x0010",,
"1776192584.105734500","127.0.0.1","127.0.0.1","35629","48556","69","0x0018",,
"1776192584.105786542","127.0.0.1","127.0.0.1","48556","35629","68","0x0010",,
"1776192584.106082750","192.168.0.110","192.168.0.110","53239","1883","111","0x0018","3","icu/attacker/slowite_like"
"1776192584.150810375","192.168.0.110","192.168.0.110","1883","53239","68","0x0010",,
"1776192584.923450626","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192584.923511501","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192585.110904751","192.168.0.110","192.168.0.110","44941","1883","76","0x0002",,
"1776192585.110928501","192.168.0.110","192.168.0.110","1883","44941","76","0x0012",,
"1776192585.110950042","192.168.0.110","192.168.0.110","44941","1883","68","0x0010",,
"1776192585.111060209","192.168.0.110","192.168.0.110","44941","1883","102","0x0018","1",
"1776192585.111071917","192.168.0.110","192.168.0.110","1883","44941","68","0x0010",,
"1776192585.111185334","127.0.0.1","127.0.0.1","40796","45913","76","0x0002",,
"1776192585.111201084","127.0.0.1","127.0.0.1","45913","40796","76","0x0012",,
"1776192585.111215001","127.0.0.1","127.0.0.1","40796","45913","68","0x0010",,
"1776192585.112349626","192.168.0.110","192.168.0.110","1883","44941","72","0x0018","2",
"1776192585.112383501","192.168.0.110","192.168.0.110","44941","1883","68","0x0010",,
"1776192585.923546001","192.168.0.111","192.168.0.110","45339","1883","782","0x0018","3","Fan Speed"
"1776192585.923574709","192.168.0.110","192.168.0.111","1883","45339","68","0x0010",,
"1776192585.923598293","192.168.0.113","192.168.0.110","35231","1883","986","0x0018","3","Temperature"
"1776192585.923609959","192.168.0.110","192.168.0.113","1883","35231","68","0x0010",,
"1776192585.923703876","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192585.923715543","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192586.113454584","192.168.0.110","192.168.0.110","42539","1883","76","0x0002",,
"1776192586.113513959","192.168.0.110","192.168.0.110","1883","42539","76","0x0012",,
"1776192586.113563459","192.168.0.110","192.168.0.110","42539","1883","68","0x0010",,
"1776192586.113981376","192.168.0.110","192.168.0.110","42539","1883","102","0x0018","1",
"1776192586.114010168","192.168.0.110","192.168.0.110","1883","42539","68","0x0010",,
"1776192586.114129584","127.0.0.1","127.0.0.1","44598","37653","76","0x0002",,
"1776192586.114159834","127.0.0.1","127.0.0.1","37653","44598","76","0x0012",,
"1776192586.114190751","127.0.0.1","127.0.0.1","44598","37653","68","0x0010",,
"1776192586.114437293","192.168.0.110","192.168.0.110","1883","42539","72","0x0018","2",
"1776192586.114472126","192.168.0.110","192.168.0.110","42539","1883","68","0x0010",,
"1776192586.924513335","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192586.924556501","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192587.116106710","192.168.0.110","192.168.0.110","53713","1883","76","0x0002",,
"1776192587.116154210","192.168.0.110","192.168.0.110","1883","53713","76","0x0012",,
