frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1776054838.310434386","192.168.0.120","192.168.0.110","40409","1883","1784","0x0018","3","Movement"
"1776054838.310455844","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054839.306159141","192.168.0.113","192.168.0.110","35227","1883","935","0x0018","3","Temperature"
"1776054839.306328932","192.168.0.110","192.168.0.113","1883","35227","68","0x0010",,
"1776054839.306524974","192.168.0.120","192.168.0.110","40409","1883","1004","0x0018","3","Movement"
"1776054839.306559016","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054839.306671433","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054839.306694850","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054840.311312784","192.168.0.111","192.168.0.110","44505","1883","782","0x0018","3","Fan Speed"
"1776054840.311395825","192.168.0.110","192.168.0.111","1883","44505","68","0x0010",,
"1776054840.311560951","192.168.0.120","192.168.0.110","40409","1883","1264","0x0018","3","Movement"
"1776054840.311592492","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054840.311675659","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054840.311702451","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054841.309233542","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054841.309296000","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054841.309373375","192.168.0.120","192.168.0.110","40409","1883","1498","0x0018","3","Movement"
"1776054841.309393583","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054841.899275359","192.168.64.3","91.189.91.97","38484","80","76","0x0002",,
"1776054842.307440675","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054842.307532758","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054842.307644259","192.168.0.120","192.168.0.110","40409","1883","1355","0x0018","3","Movement"
"1776054842.307671259","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054843.307513394","192.168.0.111","192.168.0.110","44505","1883","782","0x0018","3","Fan Speed"
"1776054843.307606436","192.168.0.110","192.168.0.111","1883","44505","68","0x0010",,
"1776054843.307701144","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054843.307734811","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054843.307890103","192.168.0.113","192.168.0.110","35227","1883","884","0x0018","3","Temperature"
"1776054843.307929728","192.168.0.110","192.168.0.113","1883","35227","68","0x0010",,
"1776054843.308295812","192.168.0.120","192.168.0.110","40409","1883","1056","0x0018","3","Movement"
"1776054843.308327937","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054844.305951694","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054844.306300987","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054844.307963406","192.168.0.120","192.168.0.110","40409","1883","939","0x0018","3","Movement"
"1776054844.308008656","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054845.305592788","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054845.305681413","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054845.305810747","192.168.0.120","192.168.0.110","40409","1883","783","0x0018","3","Movement"
"1776054845.305849039","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054846.306398675","192.168.0.111","192.168.0.110","44505","1883","782","0x0018","3","Fan Speed"
"1776054846.306467300","192.168.0.110","192.168.0.111","1883","44505","68","0x0010",,
"1776054846.306538134","192.168.0.120","192.168.0.110","40409","1883","1121","0x0018","3","Movement"
"1776054846.306562050","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054846.306636384","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054846.306656217","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054847.311132359","192.168.0.113","192.168.0.110","35227","1883","935","0x0018","3","Temperature"
"1776054847.311191734","192.168.0.110","192.168.0.113","1883","35227","68","0x0010",,
"1776054847.311237609","192.168.0.120","192.168.0.110","40409","1883","1836","0x0018","3","Movement"
"1776054847.311255818","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054847.311300068","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054847.311317401","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054848.305684487","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054848.305745654","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054848.305833863","192.168.0.120","192.168.0.110","40409","1883","1160","0x0018","3","Movement"
