frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1775524192.707702634","192.168.0.113","192.168.0.110","35173","1883","935","0x0018","3","Temperature"
"1775524192.707722842","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524193.703203662","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524193.703242578","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524194.707074109","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524194.707136484","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524194.707287567","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524194.707309359","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524195.702761141","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524195.702814433","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524196.706611718","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524196.706654218","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524196.706728302","192.168.0.113","192.168.0.110","35173","1883","935","0x0018","3","Temperature"
"1775524196.706742385","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524197.289989841",,,,,"144",,,
"1775524197.294149466",,,,,"152",,,
"1775524197.701522965","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524197.701561506","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524197.701603798","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524197.701616715","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524198.256327922",,,,,"152",,,
"1775524198.703148422","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524198.703212755","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524199.706622423","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524199.706703548","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524200.707029510","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524200.707251427","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524200.707338969","192.168.0.113","192.168.0.110","35173","1883","986","0x0018","3","Temperature"
"1775524200.707365969","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524200.707438885","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524200.707458177","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524201.705644267","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524201.705680933","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524202.707025318","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524202.707076568","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524203.702034329","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524203.702068287","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524203.702108121","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524203.702119621","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524204.703650093","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524204.703707051","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524204.703760635","192.168.0.113","192.168.0.110","35173","1883","935","0x0018","3","Temperature"
"1775524204.703777676","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524205.705357901","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524205.705397943","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524206.703795337","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524206.703836795","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
